Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-01-01,Sherina's Adventure,2000,https://boxd.it/1yiMOD,4,,,2021-01-01
2021-01-02,Shadow in the Cloud,2020,https://boxd.it/1ymbzJ,3,,,2021-01-01
2021-01-02,Love and Monsters,2020,https://boxd.it/1yuwqf,4,,,2021-01-02
2021-01-04,Susi Susanti - Love All,2019,https://boxd.it/1yY3UF,3.5,,,2021-01-04
2021-01-06,Minari,2020,https://boxd.it/1z9OKJ,4.5,,,2021-01-05
2021-01-08,Milea,2020,https://boxd.it/1zrqmT,3,Yes,,2021-01-07
2021-01-10,Avengers: Endgame,2019,https://boxd.it/1zImpD,5,Yes,,2021-01-09
2021-01-10,Violet Evergarden: Eternity and the Auto Memory Doll,2019,https://boxd.it/1zIHOT,3,,,2021-01-09
2021-01-11,Captain America: The Winter Soldier,2014,https://boxd.it/1zU8E9,4,Yes,,2021-01-10
2021-01-14,Hidden Figures,2016,https://boxd.it/1AucyB,3.5,,,2021-01-14
2021-01-17,Yang Tak Tergantikan,2021,https://boxd.it/1APW1P,3.5,,,2021-01-16
2021-01-18,What's Up with Love? 2,2016,https://boxd.it/1B6V0l,4,,,2021-01-18
2021-01-21,The Heartbreak Club,2021,https://boxd.it/1BBabN,3,,,2021-01-21
2021-01-26,Wolfwalkers,2020,https://boxd.it/1Cjimd,4,,,2021-01-26
2021-01-30,The Little Things,2021,https://boxd.it/1CMY0r,3,,,2021-01-30
2021-02-05,Arrival,2016,https://boxd.it/1DCzxf,5,Yes,,2021-02-05
2021-03-20,Geez & Ann,2021,https://boxd.it/1Jxwkh,2.5,,,2021-02-26
2021-03-20,Zack Snyder's Justice League,2021,https://boxd.it/1JxvNd,4,,,2021-03-19
2021-04-01,Godzilla vs. Kong,2021,https://boxd.it/1Lj68p,4,,,2021-03-31
2021-04-23,Save Ralph,2021,https://boxd.it/1OpyRB,4.5,,,2021-04-22
2021-04-24,Raya and the Last Dragon,2021,https://boxd.it/1Ow6SZ,3.5,,,2021-04-22
2021-04-23,Nomadland,2020,https://boxd.it/1Ov7Fl,4.5,,,2021-04-23
2021-04-25,Mortal Kombat,2021,https://boxd.it/1OPM0N,2.5,,,2021-04-25
2021-04-26,Habibie & Ainun 3,2019,https://boxd.it/1OSlSz,3.5,,,2021-04-25
2021-04-28,Sound of Metal,2019,https://boxd.it/1Phj4x,4,,,2021-04-28
2021-05-01,The Mitchells vs. The Machines,2021,https://boxd.it/1PEyMb,5,,,2021-05-01
2021-05-11,The Truman Show,1998,https://boxd.it/1QX845,4.5,,,2021-05-09
2021-05-11,Dunkirk,2017,https://boxd.it/1QX75B,4.5,Yes,,2021-05-10
2021-05-12,The Wind Rises,2013,https://boxd.it/1R3IcB,4,,,2021-05-11
2021-05-14,Howl's Moving Castle,2004,https://boxd.it/1Rjkhp,3.5,,,2021-05-13
2021-05-15,Little Women,2019,https://boxd.it/1Ry0VT,5,Yes,,2021-05-15
2021-05-16,The Theory of Everything,2014,https://boxd.it/1RHJyX,4.5,Yes,,2021-05-16
2021-05-20,22 vs. Earth,2021,https://boxd.it/1Sd2mt,4,,,2021-05-19
