
Date,Name,Tags,URL,Description
2022-02-25,P h y s i c s,,https://boxd.it/fyDJS,"From biography about one of the greatest physicist of all time to a mind-bending space-time film directed by Nolan, this list contains stories revolve around physics."

Position,Name,Year,URL,Description
1,Interstellar,2014,https://boxd.it/4VZ8,
2,The Theory of Everything,2014,https://boxd.it/7YtA,
3,The Martian,2015,https://boxd.it/8SeG,
4,Gravity,2013,https://boxd.it/GZY,
5,Ad Astra,2019,https://boxd.it/ePzI,
6,Tenet,2020,https://boxd.it/leq4,
7,Radioactive,2019,https://boxd.it/hhpU,
8,First Man,2018,https://boxd.it/cPym,
9,Arrival,2016,https://boxd.it/aNGk,
10,Palm Springs,2020,https://boxd.it/lCXQ,
11,Predestination,2014,https://boxd.it/6bJM,
12,Donnie Darko,2001,https://boxd.it/2b2A,
13,Beyond the Infinite Two Minutes,2020,https://boxd.it/ujVk,
14,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
15,About Time,2013,https://boxd.it/43bI,
16,Project Almanac,2015,https://boxd.it/6IP4,
