Date,Name,Year,Letterboxd URI,Rating
2020-06-14,Uncut Gems,2019,https://boxd.it/gXGc,4.5
2020-06-14,Parasite,2019,https://boxd.it/hTha,5
2020-12-08,Sabar Ini Ujian,2020,https://boxd.it/oZfo,3.5
2020-12-08,Tesla,2020,https://boxd.it/iKZa,3
2020-12-08,Extraction,2020,https://boxd.it/jUjA,3.5
2020-12-08,The Devil All the Time,2020,https://boxd.it/i2tY,4
2020-12-08,The House of Us,2019,https://boxd.it/l99C,3.5
2021-01-01,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2021-01-01,Sherina's Adventure,2000,https://boxd.it/609e,4
2021-01-07,The Invisible Man,2020,https://boxd.it/kWlA,4.5
2021-01-07,Clouds,2020,https://boxd.it/nmI0,3.5
2021-01-09,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,5
2021-01-09,Inception,2010,https://boxd.it/1skk,4.5
2021-01-09,Interstellar,2014,https://boxd.it/4VZ8,5
2021-01-09,Onward,2020,https://boxd.it/io92,3.5
2021-01-09,1917,2019,https://boxd.it/jj4y,4.5
2021-01-09,Arrival,2016,https://boxd.it/aNGk,5
2021-01-09,Marriage Story,2019,https://boxd.it/hJAw,4.5
2021-01-09,Searching,2018,https://boxd.it/hDPg,4
2021-01-09,Blade Runner 2049,2017,https://boxd.it/b8wK,5
2021-01-09,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4.5
2021-01-09,Before Sunrise,1995,https://boxd.it/2bcU,4.5
2021-01-09,Moonrise Kingdom,2012,https://boxd.it/2Wng,3.5
2021-01-09,(500) Days of Summer,2009,https://boxd.it/1EmM,4
2021-01-09,MOTHER,2020,https://boxd.it/q7mE,3.5
2021-01-09,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,4.5
2021-01-09,Phantom Thread,2017,https://boxd.it/e4uc,4
2021-01-09,Avengers: Endgame,2019,https://boxd.it/9vE4,5
2021-01-09,The Farewell,2019,https://boxd.it/kIky,4
2021-01-09,Ford v Ferrari,2019,https://boxd.it/ce74,4.5
2021-01-09,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,4.5
2021-01-09,Us,2019,https://boxd.it/gnV6,3.5
2021-01-09,Ad Astra,2019,https://boxd.it/ePzI,4.5
2021-01-09,The King,2019,https://boxd.it/ieZs,3
2021-01-09,Zombieland: Double Tap,2019,https://boxd.it/bgb6,3
2021-01-09,Brightburn,2019,https://boxd.it/jk58,3
2021-01-09,Glass,2019,https://boxd.it/g3uO,2.5
2021-01-09,Spies in Disguise,2019,https://boxd.it/fjf4,3
2021-01-09,Abominable,2019,https://boxd.it/fiPq,3
2021-01-09,Maleficent: Mistress of Evil,2019,https://boxd.it/eSig,3
2021-01-09,Dora and the Lost City of Gold,2019,https://boxd.it/i1VW,3
2021-01-09,Dumbo,2019,https://boxd.it/aNYI,3
2021-01-09,Dark Phoenix,2019,https://boxd.it/anyO,2.5
2021-01-09,Midway,2019,https://boxd.it/iX4w,3
2021-01-09,Wonder Woman 1984,2020,https://boxd.it/gBtA,3.5
2021-01-10,Violet Evergarden: Eternity and the Auto Memory Doll,2019,https://boxd.it/mzze,3
2021-01-10,Shadow in the Cloud,2020,https://boxd.it/pah6,3
2021-01-10,"Kim Ji-young, Born 1982",2019,https://boxd.it/lyGw,4
2021-01-11,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,4
2021-01-11,Milea,2020,https://boxd.it/nQzs,3
2021-01-11,Aladdin,2019,https://boxd.it/eSjy,3.5
2021-01-11,Her Blue Sky,2019,https://boxd.it/mJKG,2.5
2021-01-11,Black Panther,2018,https://boxd.it/8MHs,4
2021-01-11,Doctor Strange,2016,https://boxd.it/8MH8,4
2021-01-11,Ex Machina,2015,https://boxd.it/7T2k,3.5
2021-01-11,Mad Max: Fury Road,2015,https://boxd.it/2DjO,4.5
2021-01-11,The Martian,2015,https://boxd.it/8SeG,4.5
2021-01-11,Your Name.,2016,https://boxd.it/cUqs,5
2021-01-11,Mirai,2018,https://boxd.it/h2Hu,4
2021-01-11,The Kissing Booth 2,2020,https://boxd.it/lrky,2
2021-01-11,Thor: Ragnarok,2017,https://boxd.it/8MHi,4
2021-01-11,The Midnight Sky,2020,https://boxd.it/mK6C,2.5
2021-01-12,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O,4
2021-01-12,A Star Is Born,2018,https://boxd.it/aXgc,3.5
2021-01-12,Shutter Island,2010,https://boxd.it/1U82,4.5
2021-01-12,First Man,2018,https://boxd.it/cPym,4
2021-01-12,The Social Network,2010,https://boxd.it/17ue,5
2021-01-12,The Irishman,2019,https://boxd.it/dYOq,4
2021-01-12,Gravity,2013,https://boxd.it/GZY,4.5
2021-01-12,Lady Bird,2017,https://boxd.it/dGNE,4
2021-01-12,Alita: Battle Angel,2019,https://boxd.it/e0rS,4
2021-01-12,In the Tall Grass,2019,https://boxd.it/iZpm,2.5
2021-01-12,The Man Who Knew Infinity,2015,https://boxd.it/bTpm,4
2021-01-12,A Beautiful Mind,2001,https://boxd.it/2amk,4.5
2021-01-12,The King's Speech,2010,https://boxd.it/dX0,4
2021-01-12,Into the Wild,2007,https://boxd.it/22m2,4
2021-01-12,Hacksaw Ridge,2016,https://boxd.it/azew,4
2021-01-12,The Revenant,2015,https://boxd.it/8H5e,4.5
2021-01-12,The Dark Knight,2008,https://boxd.it/2b0k,4.5
2021-01-12,The Prestige,2006,https://boxd.it/293w,4.5
2021-01-12,Batman Begins,2005,https://boxd.it/2aIg,4
2021-01-12,The Dark Knight Rises,2012,https://boxd.it/H3m,4
2021-01-12,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO,3.5
2021-01-12,A Quiet Place,2018,https://boxd.it/fVJQ,4
2021-01-12,A Silent Voice,2016,https://boxd.it/d99c,4.5
2021-01-12,A Whisker Away,2020,https://boxd.it/oQEa,2.5
2021-01-12,Abracadabra,2020,https://boxd.it/nRKQ,3
2021-01-12,Annihilation,2018,https://boxd.it/9yzm,4
2021-01-12,Avatar,2009,https://boxd.it/1Efm,4
2021-01-12,Bad Boys for Life,2020,https://boxd.it/15pc,3
2021-01-12,Bird Box,2018,https://boxd.it/eh1i,3
2021-01-12,BlacKkKlansman,2018,https://boxd.it/hxL8,4
2021-01-12,Booksmart,2019,https://boxd.it/igNS,4
2021-01-12,Brooklyn,2015,https://boxd.it/5bdk,4
2021-01-12,Casino Royale,2006,https://boxd.it/1alk,4
2021-01-12,Dreamland,2019,https://boxd.it/hg1M,3
2021-01-12,Fireworks,2017,https://boxd.it/fjvm,2.5
2021-01-12,Grave of the Fireflies,1988,https://boxd.it/1RUM,4.5
2021-01-12,Guns Akimbo,2019,https://boxd.it/gkFu,3
2021-01-12,House of Hummingbird,2018,https://boxd.it/jZ8C,4.5
2021-01-12,Hugo,2011,https://boxd.it/R08,3.5
2021-01-12,I've Always Liked You,2016,https://boxd.it/d1kc,3
2021-01-12,Imperfect,2019,https://boxd.it/mApk,3.5
