Date,Name,Year,Letterboxd URI
2020-06-14,Uncut Gems,2019,https://boxd.it/gXGc
2020-06-14,Jojo Rabbit,2019,https://boxd.it/iEBG
2020-06-14,The Shape of Water,2017,https://boxd.it/dZ5m
2020-06-14,Parasite,2019,https://boxd.it/hTha
2020-06-14,Her Blue Sky,2019,https://boxd.it/mJKG
2020-06-14,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2020-12-07,Tenet,2020,https://boxd.it/leq4
2020-12-08,Radioactive,2019,https://boxd.it/hhpU
2020-12-08,Da 5 Bloods,2020,https://boxd.it/lnXw
2020-12-08,Enola Holmes,2020,https://boxd.it/hX2o
2020-12-08,Onward,2020,https://boxd.it/io92
2020-12-08,Palm Springs,2020,https://boxd.it/lCXQ
2020-12-08,Sabar Ini Ujian,2020,https://boxd.it/oZfo
2020-12-08,Tesla,2020,https://boxd.it/iKZa
2020-12-08,MOTHER,2020,https://boxd.it/q7mE
2020-12-08,Extraction,2020,https://boxd.it/jUjA
2020-12-08,Sejuta Sayang Untuknya,2020,https://boxd.it/s1sA
2020-12-08,The Devil All the Time,2020,https://boxd.it/i2tY
2020-12-08,The House of Us,2019,https://boxd.it/l99C
2020-12-28,Wonder Woman 1984,2020,https://boxd.it/gBtA
2020-12-28,Soul,2020,https://boxd.it/ioLA
2020-12-31,The Invisible Man,2020,https://boxd.it/kWlA
2020-12-31,Clouds,2020,https://boxd.it/nmI0
2021-01-01,Sherina's Adventure,2000,https://boxd.it/609e
2021-01-01,The Shawshank Redemption,1994,https://boxd.it/2aHi
2021-01-02,Shadow in the Cloud,2020,https://boxd.it/pah6
2021-01-02,Love and Monsters,2020,https://boxd.it/lJ6E
2021-01-04,Susi Susanti - Love All,2019,https://boxd.it/mPKC
2021-01-06,Minari,2020,https://boxd.it/mL9M
2021-01-07,The Assistant,2019,https://boxd.it/neWo
2021-01-08,Milea,2020,https://boxd.it/nQzs
2021-01-09,Knives Out,2019,https://boxd.it/jWEA
2021-01-09,Joker,2019,https://boxd.it/h4cS
2021-01-09,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2021-01-09,Little Women,2019,https://boxd.it/aSVk
2021-01-09,Inception,2010,https://boxd.it/1skk
2021-01-09,Interstellar,2014,https://boxd.it/4VZ8
2021-01-09,1917,2019,https://boxd.it/jj4y
2021-01-09,Arrival,2016,https://boxd.it/aNGk
2021-01-09,Marriage Story,2019,https://boxd.it/hJAw
2021-01-09,Phantom Thread,2017,https://boxd.it/e4uc
2021-01-09,Searching,2018,https://boxd.it/hDPg
2021-01-09,Blade Runner 2049,2017,https://boxd.it/b8wK
2021-01-09,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2021-01-09,Before Sunrise,1995,https://boxd.it/2bcU
2021-01-09,Lady Bird,2017,https://boxd.it/dGNE
2021-01-09,Booksmart,2019,https://boxd.it/igNS
2021-01-09,About Time,2013,https://boxd.it/43bI
2021-01-09,Moonrise Kingdom,2012,https://boxd.it/2Wng
2021-01-09,(500) Days of Summer,2009,https://boxd.it/1EmM
2021-01-09,Back to the Future,1985,https://boxd.it/2b8e
2021-01-09,Her,2013,https://boxd.it/4O24
2021-01-09,Avengers: Endgame,2019,https://boxd.it/9vE4
2021-01-09,The Farewell,2019,https://boxd.it/kIky
2021-01-09,Ford v Ferrari,2019,https://boxd.it/ce74
2021-01-09,The Irishman,2019,https://boxd.it/dYOq
2021-01-09,Midsommar,2019,https://boxd.it/jhxe
2021-01-09,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq
2021-01-09,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O
2021-01-09,Us,2019,https://boxd.it/gnV6
2021-01-09,Klaus,2019,https://boxd.it/ipoi
2021-01-09,Ad Astra,2019,https://boxd.it/ePzI
2021-01-09,Spider-Man: Far From Home,2019,https://boxd.it/fegG
2021-01-09,The King,2019,https://boxd.it/ieZs
2021-01-09,Zombieland: Double Tap,2019,https://boxd.it/bgb6
2021-01-09,Alita: Battle Angel,2019,https://boxd.it/e0rS
2021-01-09,Aladdin,2019,https://boxd.it/eSjy
