
Date,Name,Tags,URL,Description
2022-06-12,"when i am not twisted by reality, movies instead",,https://boxd.it/gWFGo,

Position,Name,Year,URL,Description
1,Se7en,1995,https://boxd.it/29zs,
2,The Shawshank Redemption,1994,https://boxd.it/2aHi,
3,Prisoners,2013,https://boxd.it/4E5i,
4,The Handmaiden,2016,https://boxd.it/948A,
5,Oldboy,2003,https://boxd.it/29R2,
6,The Prestige,2006,https://boxd.it/293w,
7,Shutter Island,2010,https://boxd.it/1U82,
8,A Beautiful Mind,2001,https://boxd.it/2amk,
9,Interstellar,2014,https://boxd.it/4VZ8,
10,Arrival,2016,https://boxd.it/aNGk,
11,Searching,2018,https://boxd.it/hDPg,
12,The Invisible Man,2020,https://boxd.it/kWlA,
