
Date,Name,Tags,URL,Description
2022-03-09,Women in films.,,https://boxd.it/fIUKe,

Position,Name,Year,URL,Description
1,Little Women,2019,https://boxd.it/aSVk,
2,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
3,The Assistant,2019,https://boxd.it/neWo,
4,House of Hummingbird,2018,https://boxd.it/jZ8C,
5,Lady Bird,2017,https://boxd.it/dGNE,
6,Booksmart,2019,https://boxd.it/igNS,
7,"Kim Ji-young, Born 1982",2019,https://boxd.it/lyGw,
8,Radioactive,2019,https://boxd.it/hhpU,
9,Yuni,2021,https://boxd.it/tXkw,
10,Room,2015,https://boxd.it/7T0y,
11,The Handmaiden,2016,https://boxd.it/948A,
12,"I, Tonya",2017,https://boxd.it/dzR0,
